adjudicated	Text	Final_Label
408	to clear the slums in the big cities and to help to erect low-rent housing. That bill, as I said, passed the Senate 4 years ago. It died in the House. That bill was reintroduced in the 80th Congress as the Taft-Ellender-Wagner bill. The name was slightly changed, but it is practically the same bill. And it passed the Senate, but it was allowed to die in the House of Representatives; and they sat on that bill, and finally forced it out of the Banking and Currency Committee, and the Rules Committee took charge, and it still is in the Rules Committee. But desperate pleas from Philadelphia in that convention that met here 3 weeks ago couldn't get that housing bill passed. They passed a bill they called a housing bill, which isn't worth the paper it's written on. In the field of labor we needed moderate legislation to promote labor-management harmony, but Congress passed instead that so-called Taft-Hartley Act, which has disrupted labor-management relations and will cause strife and bitterness for years to come if it is not repealed, as the Democratic platform says it ought to be repealed. On the Labor Department, the Republican platform of 1944 said, if they were in power, that they would build up a strong Labor Department. They have simply torn it up. Only one bureau is left that is functioning, and they cut the appropriation of that so it can hardly function. I recommended an increase in the minimum wage. What did	E
409	to death, and buried in mass graves. —With the sudden collapse of our support, these atrocities of Hue would become the nightmare of the entire nation—and particularly for the million and a half Catholic refugees who fled to South Vietnam when the Communists took over in the North. For the United States, this first defeat in our Nation's history would result in a collapse of confidence in American leadership, not only in Asia but throughout the world. Three American Presidents have recognized the great stakes involved in Vietnam and understood what had to be done. In 1963, President Kennedy, with his characteristic eloquence and clarity, said: "we want to see a stable government there, carrying on a struggle to maintain its national independence." "We believe strongly in that. We are not going to withdraw from that effort. In my opinion, for us to withdraw from that effort would mean a collapse not only of South Viet-Nam, but Southeast Asia. So we are going to stay there." President Eisenhower and President Johnson expressed the same conclusion during their terms of office. For the future of peace, precipitate withdrawal would thus be a disaster of immense magnitude. —A nation cannot remain great if it betrays its allies and lets down its friends. —Our defeat and humiliation in South Vietnam without question would promote recklessness in the councils of those great powers who have not yet abandoned their goals of world conquest. —This would spark violence wherever our commitments help maintain the peace—in	HC
410	to do this. Here's some good news: In the past six years, we have cut the welfare rolls nearly in half. You can all be proud of that. Two years ago, from this podium, I asked five companies to lead a national effort to hire people off welfare. Tonight, our Welfare to Work Partnership includes 10,000 companies who have hired hundreds of thousands of people. And our balanced budget will help another 200,000 people move to the dignity and pride of work. I hope you will support it. We must do more to bring the spark of private enterprise to every corner of America, to build a bridge from Wall Street to Appalachia to the Mississippi Delta to our Native American communities, with more support for community development banks, for empowerment zones, for 100,000 more vouchers for affordable housing. And I ask Congress to support our bold new plan to help businesses raise up to $15 billion in private sector capital to bring jobs and opportunities to our inner cities and rural areas with tax credits, loan guarantees, including the new "American Private Investment Company," modeled on the Overseas Private Investment Company. For years and years and years, we've had this OPIC, this Overseas Private Investment Corporation, because we knew we had untapped markets overseas. But our greatest untapped markets are not overseas; they are right here at home. And we should go after them. We must work hard to help bring prosperity back to the family farm. As this	E
411	to every decision. Imagine if we broke out of these tired old patterns. Imagine if we did something different. Understand, a better politics isn’t one where Democrats abandon their agenda or Republicans simply embrace mine. A better politics is one where we appeal to each other’s basic decency instead of our basest fears. A better politics is one where we debate without demonizing each other; where we talk issues and values, and principles and facts, rather than “gotcha” moments, or trivial gaffes, or fake controversies that have nothing to do with people’s daily lives. (Applause.) A politics -- a better politics is one where we spend less time drowning in dark money for ads that pull us into the gutter, and spend more time lifting young people up with a sense of purpose and possibility, asking them to join in the great mission of building America. If we’re going to have arguments, let’s have arguments, but let’s make them debates worthy of this body and worthy of this country. We still may not agree on a woman’s right to choose, but surely we can agree it’s a good thing that teen pregnancies and abortions are nearing all-time lows, and that every woman should have access to the health care that she needs. (Applause.) Yes, passions still fly on immigration, but surely we can all see something of ourselves in the striving young student, and agree that no one benefits when a hardworking mom is snatched from her child, and that	UA
412	to hold a job, to enter a public place, to go to school. It is the right to be treated in every part of our national life as a person equal in dignity and promise to all others. But freedom is not enough. You do not wipe away the scars of centuries by saying: Now you are free to go where you want, and do as you desire, and choose the leaders you please. You do not take a person who, for years, has been hobbled by chains and liberate him, bring him up to the starting line of a race and then say, "you are free to compete with all the others," and still justly believe that you have been completely fair. Thus it is not enough just to open the gates of opportunity. All our citizens must have the ability to walk through those gates. This is the next and the more profound stage of the battle for civil rights. We seek not just freedom but opportunity. We seek not just legal equity but human ability, not just equality as a right and a theory but equality as a fact and equality as a result. For the task is to give 20 million Negroes the same chance as every other American to learn and grow, to work and share in society, to develop their abilities—physical, mental and spiritual, and to pursue their individual happiness. To this end equal opportunity is essential, but not enough, not enough. Men and	UA
413	to live at the level of the people. A second place where we begin to build the Great Society is in our countryside. We have always prided ourselves on being not only America the strong and America the free, but America the beautiful. Today that beauty is in danger. The water we drink, the food we eat, the very air that we breathe, are threatened with pollution. Our parks are overcrowded, our seashores overburdened. Green fields and dense forests are disappearing. A few years ago we were greatly concerned about the "Ugly American." Today we must act to prevent an ugly America. For once the battle is lost, once our natural splendor is destroyed, it can never be recaptured. And once man can no longer walk with beauty or wonder at nature his spirit will wither and his sustenance be wasted. A third place to build the Great Society is in the classrooms of America. There your children's lives will be shaped. Our society will not be great until every young mind is set free to scan the farthest reaches of thought and imagination. We are still far from that goal. Today, 8 million adult Americans, more than the entire population of Michigan, have not finished 5 years of school. Nearly 20 million have not finished 8 years of school. Nearly 54 million—more than one-quarter of all America—have not even finished high school. Each year more than 100,000 high school graduates, with proved ability, do not enter college because they	UA
414	to produce excitements alarming to every patriot in the Union. But the good genius of conciliation, which presided at the birth of our institutions, finally prevailed, and the Missouri compromise was adopted. The eighth section of the act of Congress of the 6th of March, 1820, "To authorize the people of the Missouri Territory to form a constitution and State government " etc., provides: That in all that territory ceded by France to the United States under the name of Louisiana which lies north of 36 degree 30&#39; north latitude, not included within the limits of the State contemplated by this act, slavery and involuntary servitude, otherwise than in the punishment of crimes, whereof the parties shall have been duly convicted, shall be, and is hereby, forever prohibited: Provided always, That any person escaping into the same from whom labor or service is lawfully claimed in any State or Territory of the United States, such fugitive may be lawfully reclaimed and conveyed to the person claiming his or her labor or service as aforesaid. This compromise had the effect of calming the troubled waves and restoring peace and good will throughout the States of the Union. The Missouri question had excited intense agitation of the public mind, and threatened to divide the country into geographical parties, alienating the feelings of attachment which each portion of our Union should bear to every other. The compromise allayed the excitement, tranquilized the popular mind, and restored confidence and fraternal feelings. Its authors were	HC
415	to reason, and not require to be further chastised. The United States desire to be the friends of the Indians, upon terms of justice and humanity. But they will not suffer the depredations of the bad Indians to go unpunished. My desire is that you would caution all the Senekas and six Nations, to. prevent their rash young men from joining the Miamee Indians. For the United States cannot distinguish the tribes to which bad Indians belong, and every tribe must take care of their own people. The merits of the Cornplanter, and his friendship for the United States are well known to me, and shall not be forgotten. And as a mark of the esteem of the United States, I have directed the Secretary of war to make him a present of Two hundred and Fifty Dollars, either in money or goods, as the Cornplanter shall like best. And he may depend upon the future care and kindness of the United States. And I have also directed the Secretary of War to make suitable presents to the other Chiefs present in Philadelphia. And also that some further tokens of friendship to be forwarded to the other Chiefs, now in their Nation. Remember my words Senekas, continue to be strong in your friendship for the United States, as the only rational ground of your future happiness, and you may rely upon their kindness and protection. An Agent shall soon be appointed to reside in some place convenient to the Senekas	CTA
416	to see the benefits sought to be attained by them fully realized. The prominent point of difference between those who have been regarded as the friends of a system of internal improvements by the General Government and those adverse to such a system has been one of constitutional power, though more or less connected with considerations of expediency. My own judgment, it is well known, has on both grounds been opposed to "a general system of internal improvements" by the Federal Government. I have entertained the most serious doubts from the inherent difficulties of its application, as well as from past unsatisfactory experience, whether the power could be so exercised by the General Government as to render its use advantageous either to the country at large or effectual for the accomplishment of the object contemplated. I shall consider it incumbent on me to present to Congress at its next session a matured view of the whole subject, and to endeavor to define, approximately at least, and according to my own convictions, what appropriations of this nature by the General Government the great interests of the United States require and the Constitution will admit and sanction, in case no substitute should be devised capable of reconciling differences both of constitutionality and expediency. In the absence of the requisite means and time for duly considering the whole subject at present and discussing such possible substitute, it becomes necessary to return this bill to the House of Representatives, in which it originated, and	O
417	to the act or acts of Congress which he sought to pass or to defeat by the employment of "money, patronage, or other improper means." But the accusation is bounded by no such limits. It extends to the whole circle of legislation--to interference "for or against the passage of any law appertaining to the rights of any State or Territory." And what law does not appertain to the rights of some State or Territory? And what law or laws has the President failed to execute? These might easily have been pointed out had any such existed. Had Mr. Lawless asked an inquiry to be made by the House whether Judge Peck, in general terms, had not violated his judicial duties, without the specification of any particular act, I do not believe there would have been a single vote in that body in favor of the inquiry. Since the time of the star-chamber and of general warrants there has been no such proceeding in England. The House of Representatives, the high impeaching power of the country, without consenting to hear a word of explanation, have indorsed this accusation against the President and made it their own act. They even refused to permit a Member to inquire of the President&#39;s accuser what were the specific charges against him. Thus, in this preliminary accusation of "high crimes and misdemeanors" against a coordinate branch of the Government, under the impeaching power, the House refused to hear a single suggestion, even in regard to the	DO
418	to the merchants of oil, the surrender of our economic future to a bizarre program of massive tax cuts for the rich, service cuts for the poor, and massive inflation for everyone. And I see risk—the risk of international confrontation, the risk of an uncontrollable, unaffordable, and unwinnable nuclear arms race. No one, Democrat or Republican either, consciously seeks such a future, and I do not claim that my opponent does. But I do question the disturbing commitments and policies already made by him and by those with him who have now captured control of the Republican Party. The consequences of those commitments and policies would drive us down the wrong road. It's up to all of us to make sure America rejects this alarming and even perilous destiny. The only way to build a better future is to start with the realities of the present. But while we Democrats grapple with the real challenges of a real world, others talk about a world of tinsel and make-believe. Let's look for a moment at their make-believe world. In their fantasy America, inner-city people and farm workers and laborers do not exist. Women, like children, are to be seen but not heard. The problems of working women are simply ignored. The elderly do not need Medicare. The young do not need more help in getting a better education. Workers do not require the guarantee of a healthy and a safe place to work. In their fantasy world, all the complex global	DO
419	treaty in annual operation of the fleet over what would be the case if we even built no more than the present programs. The more selfish minded will give little credence to the argument that savings by other parties to the agreement in the limitation of naval construction are of interest to the American people, yet the fundamental economic fact is that if the resources of these other nations are freed for devotion to the welfare of their people and to pacific purposes of reproductive commerce, they will result in blessings to the world, including ourselves. If we were to accept the Geneva conference base as the end of naval strength under competitive building for the three Governments, the savings in construction and operation by the treaty is literally billions of dollars. The question before us now is not whether we shall have a treaty with either three more 8-inch cruisers or four less 6-inch cruisers, or whether we shall have a larger reduction in tonnage. It is whether we shall have this treaty or no treaty. It is a question as to whether we shall move strongly toward limitation and reduction in naval arms or whether we shall have no limitation or reduction and shall enter upon a disastrous period of competitive armament. This treaty does mark an important step in disarmament and in world peace. It is important for many reasons that it should be dealt with at once. The subject has been under discussion since the Geneva	E
420	tribunals. It is apparent that the two sections were conceived in a very, different spirit, and I regret that my objections to one impose upon me the necessity of withholding my sanction from the other. I can not give my assent to a measure which proposes to deprive any person "restrained of his or her liberty in violation of the Constitution or of any treaty. or law of the United States" from the right of appeal to the highest judicial authority known to our Government. To "secure the blessings of liberty to ourselves and our posterity" is one of the declared objects of the Federal Constitution. To assure these, guaranties are provided in the same instrument, as well against "unreasonable searches and seizures" as against the suspensions of "the privilege of the writ of habeas corpus, * * * unless when, in cases of rebellion or invasion, the public safety may require it." It was doubtless to afford the people the means of protecting and enforcing these inestimable privileges that the jurisdiction which this bill proposes to take away was conferred upon the Supreme Court of the nation. The act conferring that jurisdiction was approved on the 5th day of February, 1867, with a full knowledge of the motives that prompted its passage, and because it was believed to be necessary and right. Nothing has since occurred to disprove the wisdom and justness of the measures, and to modify it as now proposed would be to lessen the protection of	E
421	trickle down to the rest, we have been working to raise the incomes of the vast majority of the people. And we have been steadily expanding the base for prosperity and freedom in this country. The people have kept right on reelecting Democrats because we have been serving them well and they know it. The third reason the Republicans have been kept out of power for an years is because they have never been able to agree on a sensible program to put before the country. They have been on almost every side of every question, but they have seldom or never been on the right side. In 1936 they said the New Deal was terrible and they were against it and all its works. And in the election that fall they just lost by a landslide. In 1940 they admitted there might be some good in some parts of the New Deal, but they said you needed a Republican to run it. And they were overwhelmingly beaten again. In 1944 the Republicans said the New Deal might have been good in its day, but it had gotten old and tired and it was no good any more. But the people didn't agree, and the Republicans were snowed under once more. Now in 1948 they said—well, as a matter of fact, by 1948 they were so sure of winning that they really didn't bother to take a position on anything. And they got just exactly what they deserved—they got another	DO
422	vast extent which ours now presents in population and territory. The treasure of the world would hardly be equal to the improvement of every bay, inlet, creek, and river in our country which might be supposed to promote the agricultural, manufacturing, or commercial interests of a neighborhood. The Federal Constitution was wisely adapted in its provisions to any expansion of our limits and population, and with the advance of the confederacy of the States in the career of national greatness it becomes the more apparent that the harmony of the Union and the equal justice to which all its parts are entitled require that the Federal Government should confine its action within the limits prescribed by the Constitution to its power and authority. Some of the provisions of this bill are not subject to the objections stated, and did they stand alone I should not feel it to be my duty to withhold my approval. If no constitutional objections existed to the bill, there are others of a serious nature which deserve some consideration. It appropriates between $1,000,000 and $2,000,000 for objects which are of no pressing necessity, and this is proposed at a time when the country is engaged in a foreign war, and when Congress at its present session has authorized a loan or the issue of Treasury notes to defray the expenses of the war, to be resorted to if the "exigencies of the Government shall require it." It would seem to be the dictate of wisdom	E
423	war rather than let the nation survive, and the other would accept war rather than let it perish, and the war came.One-eighth of the whole population were colored slaves, not distributed generally over the Union. but localized in the southern part of it. These slaves constituted a peculiar and powerful interest. All knew that this interest was somehow the cause of the war. To strengthen, perpetuate, and extend this interest was the object for which the insurgents would rend the Union even by war, while the Government claimed no right to do more than to restrict the territorial enlargement of it. Neither party expected for the war the magnitude or the duration which it has already attained. Neither anticipated that the cause of the conflict might cease with or even before the conflict itself should cease. Each looked for an easier triumph, and a result less fundamental and astounding. Both read the same Bible and pray to the same God, and each invokes His aid against the other. It may seem strange that any men should dare to ask a just God's assistance in wringing their bread from the sweat of other men's faces, but let us judge not, that we be not judged. The prayers of both could not be answered. That of neither has been answered fully. The Almighty has His own purposes. "Woe unto the world because of offenses; for it must needs be that offenses come, but woe to that man by whom the offense cometh."	UA
424	war which might beavoided if federal jurisdiction was asserted by suitable legislation byCongress and carried out by proper proceedings instituted by the Executivein the courts of the National Government. One of the reforms to be carried out during the incoming administrationis a change of our monetary and banking laws, so as to secure greater elasticityin the forms of currency available for trade and to prevent the limitationsof law from operating to increase the embarrassment of a financial panic.The monetary commission, lately appointed, is giving full considerationto existing conditions and to all proposed remedies, and will doubtlesssuggest one that will meet the requirements of business and of public interest. We may hope that the report will embody neither the narrow dew of thosewho believe that the sole purpose of the new system should be to securea large return on banking capital or of those who would have greater expansionof currency with little regard to provisions for its immediate redemptionor ultimate security. There is no subject of economic discussion so intricateand so likely to evoke differing views and dogmatic statements as thisone. The commission, in studying the general influence of currency on businessand of business on currency, have wisely extended their investigationsin European banking and monetary methods. The information that they havederived from such experts as they have found abroad will undoubtedly befound helpful in the solution of the difficult problem they have in hand. The incoming Congress should promptly fulfill the promise of the Republicanplatform and pass a proper postal savings	E
425	was charged by the commissioner with the duty of exchanging with the proper authorities the ratifications of the treaty lately concluded with the Emperor of China. Since the return of the commissioner to the United States his health has been much improved, and he entertains the confident belief that he will soon be able to proceed on his mission. Unfortunately, differences continue to exist among some of the nations of South America which, following our example, have established their independence, while in others internal dissensions prevail. It is natural that our sympathies should be warmly enlisted for their welfare; that we should desire that all controversies between them should be amicably adjusted and their Governments administered in a manner to protect the rights and promote the prosperity of their people. It is contrary, however, to our settled policy to interfere in their controversies, whether external or internal. I have thus adverted to all the subjects connected with our foreign relations to which I deem it necessary to call your attention. Our policy is not only peace with all, but good will toward all the powers of the earth. While we are just to all, we require that all shall be just to us. Excepting the differences with Mexico and Great Britain, our relations with all civilized nations are of the most satisfactory character. It is hoped that in this enlightened age these differences may be amicably adjusted. The Secretary of the Treasury in his annual report to Congress will communicate	UA
426	way thereover for transmission lines. Under these conditions, if the Government owns the adjacent land-indeed, if the Government is the riparian owner--it may control the use of the water power by imposing proper conditions on the disposition of land necessary in the creation and utilization of the water power. The development in electrical appliances for the conversion of the water power into electricity to be transmitted long distances has progressed so far that it is no longer problematical, but it is a certain inference that in the future the power of the water falling in the streams to a large extent will take the place of natural fuels. In the disposition of that domain already granted, many water-power sites have come under absolute ownership, and may drift into one ownership, so that all the water power under private ownership shall be a monopoly. If, however, the water-power sites now owned by the Government--and there are enough of them--shall be disposed of to private persons for the investment of their capital in such a way as to prevent their union for purposes of monopoly with other waterpower sites, and under conditions that shall limit the right of use to not exceeding fifty years with proper means for determining a reasonable graduated rental, and with some equitable provision for fixing terms of renewal, it would seem entirely possible to prevent the absorption of these most useful lands by a power monopoly. As long as the Government retains control and can prevent their	E
427	we conceive, is this, that while the States are really sovereign as to all matters which have not been granted to the jurisdiction and control of the United States, the Constitution and constitutional laws of the latter are, as we have already said, the supreme law of the land, and when they conflict with the laws of the States they are of paramount authority and obligation. This is the fundamental principle on which the authority of the Constitution is based, and unless it be conceded in practice as well as theory the fabric of our institutions, as it was contemplated by its founders, can not stand. The questions involved have respect not more to the autonomy and existence of the States than to the continued existence of the United States as a government to which every American citizen may look for security and protection in every part of the land. * * * Why do we have marshals at all if they can not physically lay their hands on persons and things in the performance of their proper duties? What functions can they perform if they can not use force? In executing the process of the courts must they call on the nearest constable for protection? Must they rely on him to use the requisite compulsion and to keep the peace while they are soliciting and entreating the parties and bystanders to allow the law to take its course? This is the necessary consequence of the positions that are assumed.	F
428	weapons, and to seek a world without them. In the middle of the last century, nations agreed to be bound by a treaty whose bargain is clear: All will have access to peaceful nuclear power; those without nuclear weapons will forsake them; and those with nuclear weapons will work towards disarmament. I am committed to upholding this treaty. It is a centerpiece of my foreign policy. And I'm working with President Medvedev to reduce America and Russia's nuclear stockpiles. But it is also incumbent upon all of us to insist that nations like Iran and North Korea do not game the system. Those who claim to respect international law cannot avert their eyes when those laws are flouted. Those who care for their own security cannot ignore the danger of an arms race in the Middle East or East Asia. Those who seek peace cannot stand idly by as nations arm themselves for nuclear war. The same principle applies to those who violate international laws by brutalizing their own people. When there is genocide in Darfur, systematic rape in Congo, repression in Burma -- there must be consequences. Yes, there will be engagement; yes, there will be diplomacy -- but there must be consequences when those things fail. And the closer we stand together, the less likely we will be faced with the choice between armed intervention and complicity in oppression. This brings me to a second point -- the nature of the peace that we seek. For peace is	HC
429	what I have recommended. Beloved Cherokees, The wise men of the United States meet together once a year, to consider what will be for the good of all their people. The wise men of each separate state also meet together once or twice every year, to consult and do what is good for the people of their respective states. I have thought that a meeting of your wise men once or twice a year would be alike useful to you. Every town might send one or two of its wisest counsellors to talk together on the affairs of your nation, and to recommend to your people whatever they should think would be serviceable. The beloved agent of the United States would meet with them. He would give them information of those things which are found good by the white people, and which your situation will enable you to adopt. He would explain to them the laws made by the great council of the United States, for the preservation of peace; for the protection of your lands; for the security of your persons; for your improvement in the arts of living, and for promoting your general welfare. If it should be agreeable to you that your wise men should hold such meetings, you will speak your mind to my beloved man, Mr. Dinsmoor, to be communicated to the President of the United States, who will give such directions as shall be proper. Beloved Cherokees, That this talk may be known to	E
430	what we should be watchful of is not so much jealous interests as sound principles of action. The disinterested course is always the biggest course to pursue not only, but it is in the long run the most profitable course to pursue. If you can establish your character, you can establish your credit. What I wanted to suggest to this association, in bidding them very hearty welcome to the city, is whether we sufficiently apply these same ideas to the body of municipal law which we seek to administer. Citations seem to play so much larger a role now than principle. There was a time when the thoughtful eye of the judge rested upon the changes of social circumstances and almost palpably saw the law arise out of human life. Have we got to a time when the only way to change law is by statute? The changing of law by statute seems to me like mending a garment with a patch, whereas law should grow by the life that is in it, not by the life that is outside of it. I once said to a lawyer with whom I was discussing some question of precedent, and in whose presence I was venturing to doubt the rational validity, at any rate, of the particular precedents he cited, "After all, isn&#39;t our object justice?" And he said, "God forbid! We should be very much confused if we made that our standard. Our standard is to find out what the rule	F
431	when he got back, he didn’t have that same momentum. In life, I always tell this to people, you have to know whether or not you continue to have the momentum. And if you don’t have it, that’s OK. Because you’re going to go on, and you’re going to learn and you’re going to do things that are great. But you have to know about the word “momentum.” But the big thing, never quit, never give up; do something you love. When you do something you love as a Scout, I see that you love it. But when you do something that you love, you’ll never fail. What you’re going to do is give it a shot again and again and again. You’re ultimately going to be successful. And remember this, you’re not working. Because when you’re doing something that you love, like I do—of course I love my business, but this is a little bit different. Who thought this was going to happen. We’re, you know, having a good time. We’re doing a good job. (APPLAUSE) Doing a good job. But when you do something that you love, remember this, it’s not work. So you’ll work 24/7. You’re going to work all the time. And at the end of the year you’re not really working. You don’t think of it as work. When you’re not doing something that you like or when you’re forced into do something that you really don’t like, that’s called work, and it’s hard work,	F
432	whether we're going to reform the way Government works but how fast and how much and how well. And those are the right questions, my fellow Americans, good questions to ask. And now I come to the last, and in many ways the most important issue that we have tried to address—the economy, yes; health care, yes; reform in the way the Government works, yes—but also what about the American people. How can each American make a contribution? How can each American do the work that all Americans must, taking responsibility for himself or herself and growing up into a vibrant community? We have tried to address those issues as well. The buzz word now people use is empowerment. I used to call it responsibility. I often have said, and I want to reiterate today, the United States Government cannot create an opportunity for anyone who will not be responsible enough to seize it. Opportunity is a two-way street and requires responsibility. That is the only way we'll ever rebuild the American community. In the days and months ahead, you will see the Secretary of Education talk about his remarkable education program to provide tougher national standards in education but also to give people at the grass roots level more flexibility in making public education work. You will see the Secretary of Agriculture and the Secretary of Housing and Urban Development talk about how we can empower even the poorest Americans to start their own businesses, save their own money,	UA
433	which led to our eminence, to rivet the gaze of all peoples upon our standards of national righteousness and our conception of international justice. Moreover, the world was ready to give us its confidence. It was the beckoning opportunity of the century, not for the glorification of this New World republic, but for America to hold every outpost of advancing civilization and invite all nations to join the further advance to heights dreamed of, but never before approached. But force of example was slung aside for force of armed alliance. We neglected our restorations at home, and the sacrifice of millions of lives left us and the world groping in anxiety, instead of revealing us in the sunlight of a new day with lines formed, ready for the onward march of peace and all its triumphs. Mindful of our splendid examples, and renewing every obligation of association in war, I want America to be the rock of security at home, resolute in righteousness and supremacy of the law. Our moral leadership in the world was lost when ambition sought to superimpose a reactionary theory of discredited autocracy upon the progressive principle of living, glowing democracy. My deep aspiration, my countrymen, if clothed with power, will be to regain that lost leadership, not for myself, not even for my party, though honoring and trusting it as I do, but for the country that I love from the bottom of my heart, with every fiber of my being, above all else in	UA
434	which the State is divided, and that their population amounts in the aggregate to 24,909. The three remaining counties are estimated to contain 3,000, making a total population of 27,909. This census was taken in the summer season, when it is claimed that the population is much larger than at any other period, as in the autumn miners in large numbers leave their work and return to the East with the results of their summer enterprise. The population, it will be observed, is but slightly in excess of one-fifth of the number required as the basis of representation for a single congressional district in any of the States--the number being 127,000. I am unable to perceive any good reason for such great disparity in the right of representation, giving, as it would, to the people of Colorado not only this vast advantage in the House of Representatives, but an equality in the Senate, where the other States are represented by millions. With perhaps a single exception, no such inequality as this has ever before been attempted. I know that it is claimed that the population of the different States at the time of their admission has varied at different periods, but it has not varied much more than the population of each decade and the corresponding basis of representation for the different periods. The obvious intent of the Constitution was that no State should be admitted with a less population than the ratio for a Representative at the time of	E
435	which the necessary provision for the public wants can be made and the great advantages of a safe and uniform currency secured? I know of none which promises so certain results and is at the same time so unobjectionable as the organization of banking associations, under a general act of Congress, well guarded in its provisions. To such associations the Government might furnish circulating notes, on the security of United States bonds deposited in the Treasury. These notes, prepared under the supervision of proper officers, being uniform in appearance and security and convertible always into coin, would at once protect labor against the evils of a vicious currency and facilitate commerce by cheap and safe exchanges. A moderate reservation from the interest on the bonds would compensate the United States for the preparation and distribution of the notes and a general supervision of the system, and would lighten the burden of that part of the public debt employed as securities. The public credit, moreover, would be greatly improved and the negotiation of new loans greatly facilitated by the steady market demand for Government bonds which the adoption of the proposed system would create. It is an additional recommendation of the measure, of considerable weight, in my judgment, that it would reconcile as far as possible all existing interests by the opportunity offered to existing institutions to reorganize under the act, substituting only the secured uniform national circulation for the local and various circulation, secured and unsecured, now issued by them.	E
436	whole people as against the irreparable harm and injury that might be done by the attempt by any class to usurp a power that only Government itself has a right to exercise as a protection to all.In the matter of international disputes which have led to war, statesmen have sought to set up as a remedy arbitration for war. Does this not point the way for the settlement of industrial disputes, by the establishment of a tribunal, fair and just alike to all, which will settle industrial disputes which in the past have led to war and disaster? America, witnessing the evil consequences which have followed out of such disputes between these contending forces, must not admit itself impotent to deal with these matters by means of peaceful processes. Surely, there must be some method of bringing together in a council of peace and amity these two great interests, out of which will come a happier day of peace and cooperation, a day that will make men more hopeful and enthusiastic in their various tasks, that will make for more comfort and happiness in living and a more tolerable condition among all classes of men. Certainly human intelligence can devise some acceptable tribunal for adjusting the differences between capital and labor.This is the hour of test and trial for America. By her prowess and strength, and the indomitable courage of her soldiers, she demonstrated her power to vindicate on foreign battlefields her conceptions of liberty and justice. Let not her	UA
437	will be better able to survive nuclear attack and deliver a devastating retaliatory strike. In an era where the strategic nuclear forces are in rough equilibrium, the risks of conflict below the nuclear threshold may grow more perilous. A major, long-term objective, therefore, is to maintain capabilities to deal with, and thereby deter, conventional challenges and crises, particularly in Europe. We cannot rely solely on strategic forces to guarantee our security or to deter all types of aggression. We must have superior naval and marine forces to maintain freedom of the seas, strong multipurpose tactical air forces, and mobile, modern ground forces. Accordingly, I have directed a long-term effort to improve our worldwide capabilities to deal with regional crises. I have submitted a five-year naval building program indispensable to the nation's maritime strategy. Because the security of Europe and the integrity of NATO remain the cornerstone of American defense policy, I have initiated a special, long-term program to ensure the capacity of the Alliance to deter or defeat aggression in Europe. As I leave office I can report that our national defense is effectively deterring conflict today. Our armed forces are capable of carrying out the variety of missions assigned to them. Programs are underway which will assure we can deter war in the years ahead. But I also must warn that it will require a sustained effort over a period of years to maintain these capabilities. We must have the wisdom, the stamina, and the courage to prepare today	C
438	will be created against those who are worthily entitled to the bounty of the Government. There has lately been presented to me, on the same day, for approval, nearly 240 special bills granting and increasing pensions and restoring to the pension list the names of parties which for cause have been dropped. To aid Executive duty they were referred to the Pension Bureau for examination and report. After a delay absolutely necessary they have been returned to me within a few hours of the limit constitutionally permitted for Executive action. Two hundred and thirty-two of these bills are thus classified: Eighty-one cover cases in which favorable action by the Pension Bureau was denied by reason of the insufficiency of the testimony filed to prove the facts alleged. These bills I have approved on the assumption that the claims were meritorious and that by the passage of the bills the Government has waived full proof of the facts. Twenty-six of the bills cover claims rejected by the Pension Bureau because the evidence produced tended to prove that the alleged disability existed before the claimant&#39;s enlistment; 21 cover claims which have been denied by such Bureau because the evidence tended to show that the disability, though contracted in the service, was not incurred in the line of duty; 33 cover claims which have been denied because the evidence tended to establish that the disability originated after the soldier&#39;s discharge from the Army; 47 cover claims which have been denied because the general	E
